=========================
ELE = He
A   = 4
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
8.7            6.51e-06       3.68e-06       3.68e-06       7.63e-05       
8.8            6.65e-06       3.72e-06       3.72e-06       7.89e-05       
8.9            6.79e-06       3.77e-06       3.77e-06       8.15e-05       
9              6.93e-06       3.81e-06       3.81e-06       8.4e-05        
9.1            7.08e-06       3.88e-06       3.88e-06       7.71e-05       
9.2            7.71e-06       3.87e-06       3.87e-06       9.45e-05       
9.3            7.94e-06       3.88e-06       3.88e-06       9.11e-05       
9.4            8.05e-06       3.9e-06        3.9e-06        8.24e-05       
9.5            8.16e-06       3.93e-06       3.93e-06       7.48e-05       
9.6            8.25e-06       3.93e-06       3.93e-06       7.54e-05       
9.7            8.36e-06       3.92e-06       3.92e-06       7.65e-05       
9.8            8.47e-06       3.92e-06       3.92e-06       7.75e-05       
9.9            8.55e-06       3.92e-06       3.92e-06       7.74e-05       
10             7.3e-06        4.08e-06       4.08e-06       3.95e-05       
END DATA
-------------------------

=========================
ELE = B
A   = 11
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              7.39e-06       1.03e-06       1.03e-06       0.839          
4.1            8.38e-06       1.18e-06       1.18e-06       0.846          
4.2            9.36e-06       1.33e-06       1.33e-06       0.848          
4.3            1.03e-05       1.48e-06       1.48e-06       0.866          
4.4            1.13e-05       1.63e-06       1.63e-06       0.854          
4.5            1.23e-05       1.78e-06       1.78e-06       0.866          
4.6            1.35e-05       1.94e-06       1.94e-06       0.877          
4.7            1.47e-05       2.11e-06       2.11e-06       0.887          
4.8            1.58e-05       2.28e-06       2.28e-06       0.913          
4.9            1.71e-05       2.44e-06       2.44e-06       0.918          
5              1.82e-05       2.61e-06       2.61e-06       0.939          
5.1            1.94e-05       2.77e-06       2.77e-06       0.942          
5.2            2.06e-05       2.93e-06       2.93e-06       0.959          
5.3            2.17e-05       3.08e-06       3.08e-06       0.974          
5.4            2.28e-05       3.24e-06       3.24e-06       0.988          
5.5            2.4e-05        3.4e-06        3.4e-06        1              
5.6            2.51e-05       3.55e-06       3.55e-06       0.989          
5.7            2.61e-05       3.7e-06        3.7e-06        0.989          
5.8            2.71e-05       3.85e-06       3.85e-06       0.979          
5.9            2.81e-05       4e-06          4e-06          0.98           
6              2.91e-05       4.15e-06       4.15e-06       0.981          
6.1            3.01e-05       4.28e-06       4.28e-06       0.981          
6.2            3.11e-05       4.41e-06       4.41e-06       0.991          
6.3            3.2e-05        4.54e-06       4.54e-06       1              
6.4            3.3e-05        4.67e-06       4.67e-06       1              
6.5            3.39e-05       4.8e-06        4.8e-06        0.992          
6.6            3.47e-05       4.9e-06        4.9e-06        0.984          
6.7            3.55e-05       5e-06          5e-06          0.984          
6.8            3.63e-05       5.11e-06       5.11e-06       0.977          
6.9            3.7e-05        5.2e-06        5.2e-06        0.969          
7              3.77e-05       5.3e-06        5.3e-06        0.962          
7.1            3.86e-05       5.44e-06       5.44e-06       0.978          
7.2            3.95e-05       5.58e-06       5.58e-06       0.986          
7.3            4.04e-05       5.72e-06       5.72e-06       1              
7.4            4.13e-05       5.85e-06       5.85e-06       0.993          
7.5            4.22e-05       5.99e-06       5.99e-06       0.98           
7.6            4.32e-05       8.74e-06       8.74e-06       -1             
7.7            4.44e-05       8.98e-06       8.98e-06       -1             
7.8            4.56e-05       9.22e-06       9.22e-06       -1             
7.9            4.68e-05       9.46e-06       9.46e-06       -1             
8              4.8e-05        9.7e-06        9.7e-06        -1             
8.1            4.9e-05        9.96e-06       9.96e-06       -1             
8.2            5e-05          1.02e-05       1.02e-05       -1             
8.3            5.1e-05        1.05e-05       1.05e-05       -1             
8.4            5.2e-05        1.07e-05       1.07e-05       -1             
8.5            5.3e-05        1.1e-05        1.1e-05        -1             
8.6            5.38e-05       1.1e-05        1.1e-05        -1             
8.7            5.46e-05       1.1e-05        1.1e-05        -1             
8.8            5.54e-05       1.1e-05        1.1e-05        -1             
8.9            5.62e-05       1.1e-05        1.1e-05        -1             
9              5.7e-05        1.1e-05        1.1e-05        -1             
9.1            5.8e-05        1.12e-05       1.12e-05       -1             
9.2            5.9e-05        1.14e-05       1.14e-05       -1             
9.3            6e-05          1.16e-05       1.16e-05       -1             
9.4            6.1e-05        1.18e-05       1.18e-05       -1             
9.5            6.2e-05        1.2e-05        1.2e-05        -1             
9.6            6.3e-05        1.22e-05       1.22e-05       -1             
9.7            6.4e-05        1.24e-05       1.24e-05       -1             
9.8            6.5e-05        1.26e-05       1.26e-05       -1             
9.9            6.6e-05        1.28e-05       1.28e-05       -1             
10             6.7e-05        1.3e-05        1.3e-05        -1             
END DATA
-------------------------

=========================
ELE = B
A   = 0
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              5.6e-06        3e-07          3e-07          -1             
4.1            6.58e-06       3.6e-07        3.6e-07        -1             
4.2            7.56e-06       4.2e-07        4.2e-07        -1             
4.3            8.54e-06       4.8e-07        4.8e-07        -1             
4.4            9.52e-06       5.4e-07        5.4e-07        -1             
4.5            1.05e-05       6e-07          6e-07          -1             
4.6            1.15e-05       6.6e-07        6.6e-07        -1             
4.7            1.25e-05       7.2e-07        7.2e-07        -1             
4.8            1.36e-05       7.8e-07        7.8e-07        -1             
4.9            1.46e-05       8.4e-07        8.4e-07        -1             
5              1.56e-05       9e-07          9e-07          -1             
5.1            1.66e-05       9.6e-07        9.6e-07        -1             
5.2            1.76e-05       1.02e-06       1.02e-06       -1             
5.3            1.86e-05       1.08e-06       1.08e-06       -1             
5.4            1.96e-05       1.14e-06       1.14e-06       -1             
5.5            2.06e-05       1.2e-06        1.2e-06        -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
6.8            -1             -1             -1             -1             
6.9            -1             -1             -1             -1             
7              -1             -1             -1             -1             
7.1            -1             -1             -1             -1             
7.2            -1             -1             -1             -1             
7.3            -1             -1             -1             -1             
7.4            -1             -1             -1             -1             
7.5            -1             -1             -1             -1             
7.6            -1             -1             -1             -1             
7.7            -1             -1             -1             -1             
7.8            -1             -1             -1             -1             
7.9            -1             -1             -1             -1             
8              -1             -1             -1             -1             
8.1            -1             -1             -1             -1             
8.2            -1             -1             -1             -1             
8.3            -1             -1             -1             -1             
8.4            -1             -1             -1             -1             
8.5            -1             -1             -1             -1             
8.6            -1             -1             -1             -1             
8.7            -1             -1             -1             -1             
8.8            -1             -1             -1             -1             
8.9            -1             -1             -1             -1             
9              -1             -1             -1             -1             
9.1            -1             -1             -1             -1             
9.2            -1             -1             -1             -1             
9.3            -1             -1             -1             -1             
9.4            -1             -1             -1             -1             
9.5            -1             -1             -1             -1             
9.6            -1             -1             -1             -1             
9.7            -1             -1             -1             -1             
9.8            -1             -1             -1             -1             
9.9            -1             -1             -1             -1             
10             -1             -1             -1             -1             
END DATA
-------------------------

=========================
ELE = B
A   = 12
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              2.83e-05       4.01e-06       4.01e-06       -1             
4.1            3.12e-05       4.29e-06       4.29e-06       -1             
4.2            3.44e-05       4.46e-06       4.46e-06       -1             
4.3            3.74e-05       4.61e-06       4.61e-06       -1             
4.4            4.03e-05       4.86e-06       4.86e-06       -1             
4.5            4.31e-05       5.19e-06       5.19e-06       -1             
4.6            4.6e-05        5.46e-06       5.46e-06       -1             
4.7            4.89e-05       5.79e-06       5.79e-06       -1             
4.8            5.18e-05       6.01e-06       6.01e-06       -1             
4.9            -1             -1             -1             -1             
5              -1             -1             -1             -1             
5.1            -1             -1             -1             -1             
5.2            -1             -1             -1             -1             
5.3            -1             -1             -1             -1             
5.4            -1             -1             -1             -1             
5.5            -1             -1             -1             -1             
5.6            -1             -1             -1             -1             
5.7            -1             -1             -1             -1             
5.8            -1             -1             -1             -1             
5.9            -1             -1             -1             -1             
6              -1             -1             -1             -1             
6.1            -1             -1             -1             -1             
6.2            -1             -1             -1             -1             
6.3            -1             -1             -1             -1             
6.4            -1             -1             -1             -1             
6.5            -1             -1             -1             -1             
6.6            -1             -1             -1             -1             
6.7            -1             -1             -1             -1             
